EM,EN,unicode,label,strategy,image
🎇🔮,bright future,U+1F387 U+1F52E,1,0,./generated_img_dataset/train_google/0.png
🔆🔮,bright future,U+1F506 U+1F52E,1,0,./generated_img_dataset/train_google/1.png
🌟🎓,bright future,U+1F31F U+1F393,1,1,./generated_img_dataset/train_google/2.png
😎👨‍🔬👩‍⚕️🧑‍💻,bright future,U+1F60E U+1F468 U+200D U+1F52C U+1F469 U+200D U+2695 U+FE0F U+1F9D1 U+200D U+1F4BB,1,2,./generated_img_dataset/train_google/3.png
☀️🔮,bright future,U+2600 U+FE0F U+1F52E,1,0,./generated_img_dataset/train_google/4.png
👨‍🔬👩‍🎓👨‍⚕️,bright future,U+1F468 U+200D U+1F52C U+1F469 U+200D U+1F393 U+1F468 U+200D U+2695 U+FE0F,1,2,./generated_img_dataset/train_google/5.png
☀️🌫️,bright future,U+2600 U+FE0F U+1F32B U+FE0F,1,0,./generated_img_dataset/train_google/6.png
⏳⏩👍👍,bright future,U+23F3 U+23E9 U+1F44D U+1F44D,1,1,./generated_img_dataset/train_google/7.png
🎇☀️,bright sun,U+1F387 U+2600 U+FE0F,1,0,./generated_img_dataset/train_google/8.png
🔆☀️,bright sun,U+1F506 U+2600 U+FE0F,1,0,./generated_img_dataset/train_google/9.png
🌟🌤️🌇🌅,bright sun,U+1F31F U+1F324 U+FE0F U+1F307 U+1F305,1,2,./generated_img_dataset/train_google/10.png
☀️🔆,bright sun,U+2600 U+FE0F U+1F506,1,0,./generated_img_dataset/train_google/11.png
✨☀️,bright sun,U+2728 U+2600 U+FE0F,1,0,./generated_img_dataset/train_google/12.png
☀️🌟,bright sun,U+2600 U+FE0F U+1F31F,1,0,./generated_img_dataset/train_google/13.png
☀️☀️,bright sun,U+2600 U+FE0F U+2600 U+FE0F,1,3,./generated_img_dataset/train_google/14.png
☀️☀️,bright sun,U+2600 U+FE0F U+2600 U+FE0F,1,3,./generated_img_dataset/train_google/15.png
🎇👗,bright dress,U+1F387 U+1F457,1,0,./generated_img_dataset/train_google/16.png
🔆👗,bright dress,U+1F506 U+1F457,1,0,./generated_img_dataset/train_google/17.png
✨👗,bright dress,U+2728 U+1F457,1,0,./generated_img_dataset/train_google/18.png
🔆👗💃,bright dress,U+1F506 U+1F457 U+1F483,1,0,./generated_img_dataset/train_google/19.png
☀️🎨👗,bright dress,U+2600 U+FE0F U+1F3A8 U+1F457,1,0,./generated_img_dataset/train_google/20.png
